CallID,Timestamp,X,Y,IncidentType,Severity,ResponseUnit
1,2025-08-06 10:11:21,51,92,Traffic Accident,Low,Fire Truck
2,2025-03-13 08:04:55,82,86,Traffic Accident,Low,Fire Truck
3,2025-01-08 05:37:16,23,2,Traffic Accident,Low,Police
4,2025-02-07 17:38:09,37,1,Traffic Accident,Critical,Ambulance
5,2025-05-21 05:59:59,21,88,Traffic Accident,Moderate,Ambulance
6,2025-06-14 18:55:33,91,59,Traffic Accident,Moderate,Police
7,2025-08-30 04:52:06,50,54,Other,Moderate,Police
8,2025-08-09 22:03:50,6,20,Fire,Critical,Mixed
9,2025-06-23 21:16:25,13,8,Traffic Accident,Moderate,Ambulance
10,2025-03-12 22:58:22,59,70,Medical Emergency,Low,Ambulance
11,2025-09-05 16:39:19,80,35,Traffic Accident,Low,Ambulance
12,2025-06-04 12:54:31,53,3,Traffic Accident,Low,Police
13,2025-04-12 19:21:17,33,73,Medical Emergency,Moderate,Mixed
14,2025-03-29 20:18:36,71,77,Traffic Accident,Critical,Ambulance
15,2025-08-15 15:43:01,79,81,Fire,Moderate,Mixed
16,2025-08-14 23:43:23,59,40,Traffic Accident,Critical,Ambulance
17,2025-01-29 12:16:58,8,87,Traffic Accident,Moderate,Ambulance
18,2025-07-22 05:17:20,80,7,Medical Emergency,Low,Ambulance
19,2025-03-14 02:49:18,40,27,Medical Emergency,Moderate,Ambulance
20,2025-07-28 02:49:00,47,22,Medical Emergency,Moderate,Fire Truck
21,2025-03-28 17:40:33,85,90,Fire,Moderate,Mixed
22,2025-06-26 20:43:58,2,0,Medical Emergency,Moderate,Ambulance
23,2025-07-08 01:45:28,26,8,Medical Emergency,Critical,Ambulance
24,2025-07-17 22:51:13,50,62,Medical Emergency,Moderate,Fire Truck
25,2025-07-18 17:41:47,3,93,Traffic Accident,Moderate,Fire Truck
26,2025-08-11 17:06:22,28,35,Other,Moderate,Fire Truck
27,2025-01-10 15:20:56,27,65,Medical Emergency,Moderate,Ambulance
28,2025-09-08 14:26:14,27,27,Traffic Accident,Moderate,Police
29,2025-07-31 06:28:37,91,88,Traffic Accident,Critical,Ambulance
30,2025-08-13 09:38:46,61,76,Medical Emergency,Critical,Fire Truck
31,2025-04-30 05:46:49,8,61,Traffic Accident,Critical,Ambulance
32,2025-03-17 18:34:08,78,58,Traffic Accident,Moderate,Police
33,2025-05-07 18:57:15,61,57,Other,Moderate,Ambulance
34,2025-04-12 00:05:21,55,80,Traffic Accident,Low,Ambulance
35,2025-04-13 07:46:43,86,95,Other,Moderate,Ambulance
36,2025-09-28 23:38:17,43,89,Other,Moderate,Fire Truck
